,fecha,centro,almacen,tipo_stock,material,cantidad_teorica,cantidad_contada,stock_diferencia,impacto_valor,diferencia_absoluta,diferencia_porcentual,impacto_economico_abs
6171,2026-02-05,R241,MP01,Almacén,1007100,131.5,132.0,0.5,28662.0,0.5,0.38022813688212925,28662.0
6173,2026-02-05,R241,MP01,Almacén,1007101,2222.0,2196.0,-26.0,12989.0,26.0,1.17011701170117,12989.0
6175,2026-02-05,R241,MP01,Almacén,1007104,208.0,206.5,-1.5,24144.0,1.5,0.7211538461538461,24144.0
6177,2026-02-05,R241,MP01,Almacén,1007105,248.8,244.5,-4.3,94937.0,4.3,1.728295819935691,94937.0
6181,2026-02-05,R241,MP01,Almacén,1007111,2250.0,2180.0,-70.0,427234.0,70.0,3.111111111111111,427234.0
6183,2026-02-05,R241,MP01,Almacén,1007126,1305.0,1270.0,-35.0,62372.0,35.0,2.681992337164751,62372.0
6185,2026-02-05,R241,MP01,Almacén,1007127,10228.7,10229.0,0.3,550.0,0.3,0.0029329240274912744,550.0
6189,2026-02-05,R241,MP01,Almacén,1007133,11344.0,11412.0,68.0,108541.0,68.0,0.5994358251057829,108541.0
6201,2026-02-05,R241,MP01,Almacén,1007257,1760.0,1740.0,-20.0,95548.0,20.0,1.1363636363636365,95548.0
6203,2026-02-05,R241,MP01,Almacén,1007342,402.0,419.8,17.8,642817.0,17.8,4.427860696517413,642817.0
6207,2026-02-05,R241,MP01,Almacén,1007644,25171.0,24987.0,-184.0,145293.0,184.0,0.7309999602717413,145293.0
6209,2026-02-05,R241,MP01,Almacén,1007682,479.345,528.42,49.075,2041033.0,49.075,10.23792884039679,2041033.0
6217,2026-02-05,R241,MP01,Almacén,1007753,174.66,172.21,-2.45,82162.0,2.45,1.4027252948585824,82162.0
6227,2026-02-05,R241,MP01,Almacén,1008187,526.384,473.99,-52.394,2158341.0,52.394,9.953570017325754,2158341.0
6229,2026-02-05,R241,MP01,Almacén,1008193,620.069,647.44,27.371,896015.0,27.371,4.41418616315281,896015.0
6231,2026-02-05,R241,MP01,Almacén,1008194,835.882,818.59,-17.292,418998.0,17.292,2.0687130480139544,418998.0
6235,2026-02-05,R241,MP01,Almacén,1008198,29134.0,29070.0,-64.0,218654.0,64.0,0.21967460698839844,218654.0
6241,2026-02-05,R241,MP01,Almacén,1008355,0.0,31.0,31.0,333772.0,31.0,inf,333772.0
6423,2026-02-05,R241,FB01,Almacén,CUBIE410004,0.317,0.0,-0.317,1070.0,0.317,100.0,1070.0
6441,2026-02-05,R241,FB01,Almacén,CUBIE410015,0.327,0.0,-0.327,5000.0,0.327,100.0,5000.0
6841,2026-02-05,R241,MP01,Almacén,1007781,23.0,0.0,-23.0,58005.0,23.0,100.0,58005.0
6925,2026-02-12,R241,MP01,Almacén,2005265,216.239,1346.0,1129.761,4515353.0,1129.761,522.4594083398462,4515353.0
6927,2026-02-12,R241,MP01,Almacén,2005285,4743.138,4200.0,-543.138,22819.0,543.138,11.45102672534512,22819.0
6951,2026-02-12,R241,MP01,Almacén,2007001,2176.356,2174.0,-2.356,73797.0,2.356,0.10825434809378612,73797.0
6953,2026-02-12,R241,MP01,Almacén,2007007,972.0,965.0,-7.0,349435.0,7.0,0.720164609053498,349435.0
6955,2026-02-12,R241,MP01,Almacén,2007008,73990.545,80000.0,6009.455,512012.0,6009.455,8.121922875416042,512012.0
6957,2026-02-12,R241,MP01,Almacén,2007012,1200.581,1200.0,-0.581,24.0,0.581,0.048393236274770296,24.0
6961,2026-02-12,R241,MP01,Almacén,2007034,197.948,175.0,-22.948,341925.0,22.948,11.59294360134985,341925.0
6963,2026-02-12,R241,MP01,Almacén,2007036,17000.483,17000.0,-0.483,4.0,0.483,0.002841095750044278,4.0
6979,2026-02-12,R241,MP01,Almacén,2007502,1649.954,1647.0,-2.954,89189.0,2.954,0.17903529431729615,89189.0
6989,2026-02-12,R241,MP01,Almacén,2007590,511.253,464.0,-47.253,857924.0,47.253,9.242586351571532,857924.0
6991,2026-02-12,R241,MP01,Almacén,2007592,439.878,466.0,26.122,474588.0,26.122,5.938464756136929,474588.0
6995,2026-02-12,R241,MP01,Almacén,2007940,11219.161,9526.0,-1693.161,1198242.0,1693.161,15.091690011401033,1198242.0
6997,2026-02-12,R241,MP01,Almacén,2007941,14908.0,14142.0,-766.0,554841.0,766.0,5.13818084250067,554841.0
6999,2026-02-12,R241,MP01,Almacén,2007942,9558.0,9586.0,28.0,20034.0,28.0,0.2929483155471856,20034.0
